trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.5, 'e': 0.09245003270420485}",25,0,-0.07311571256883931,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.09205746178983235}",20,0,-19.87048649654251,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.09166984970282113}",20,0,-57.402792139540466,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.09128709291752768}",25,14,8.117205737921953,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.09090909090909091}",25,0,-28.01482805168903,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.09053574604251853}",20,3,-18.731494466535292,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.09016696346674323}",20,0,-10.497240684405519,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.08980265101338746}",20,9,19.118721662116666,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.08944271909999159}",20,0,3.821845750771777,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.0890870806374748}",25,0,-21.123368158428317,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.08873565094161139}",25,0,-15.346110793271622,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.08838834764831843}",20,0,-25.88583574229233,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.08804509063256238}",25,0,-6.2392697200295375,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.08770580193070293}",20,0,-77.8424146996497,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.0873704056661038}",20,0,-41.991328630861005,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.08703882797784893}",20,16,6.4409345036734,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.086710996952412}",30,0,-0.6168122366011761,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.08638684255813601}",30,0,-95.25363187276662,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.08606629658238704}",25,0,17.548262061470577,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.08574929257125441}",20,0,-0.6175226699644318,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.0854357657716761}",25,14,-5.126590207301222,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.08512565307587486}",20,0,-61.283043994401176,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.08481889296799709}",20,0,-17.438039774478252,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.08451542547285165}",20,0,10.225830264248385,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.0842151921066519}",25,0,-15.758441601181556,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.08391813582966891}",35,6,14.597128592962138,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.08362420100070908}",20,0,-1.1516220025989221,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.08333333333333333}",20,7,8.881205276804657,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.08304547985373997}",30,0,-4.610978042887101,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.0827605888602368}",25,0,-19.98860757616436,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.08247860988423225}",35,19,0.2874031803729862,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.08219949365267865}",20,8,5.169200285240497,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.08192319205190406}",20,0,13.966567724204307,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.08164965809277261}",20,0,-27.362733660509768,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.08137884587711594}",20,6,20.622401424368256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.08111071056538127}",25,0,-5.991112765307466,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.08084520834544433}",20,16,5.039111842439481,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.08058229640253803}",30,0,-36.610139676794795,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.08032193289024989}",20,0,-26.511957521570732,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.08006407690254357}",20,0,10.137016714927224,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.07980868844676221}",20,0,2.5093083328435917,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.079555728417573}",30,0,21.16447424166427,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.07930515857181442}",30,14,-1.0546236930983837,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.07905694150420949}",20,0,8.558462226848997,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.07881104062391006}",20,0,7.931731016748143,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.07856742013183861}",25,7,17.103036935638823,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.07832604499879574}",30,0,-10.893071709001514,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.07808688094430304}",20,0,-3.4540423989662132,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.0778498944161523}",25,0,32.46044072747783,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.07761505257063328}",25,13,20.84467150209993,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.07738232325341368}",25,0,-14.805590514493753,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.07715167498104596}",20,0,-32.258930935361484,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.07692307692307693}",20,12,2.961762041436107,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.07669649888473704}",25,0,36.67751584801967,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.07647191129018725}",25,0,-4.4329996159058025,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.07624928516630233}",20,0,-18.91296995918428,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.07602859212697055}",30,13,14.141353257244646,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.07580980435789034}",25,0,31.82228014967467,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.07559289460184544}",20,0,-20.277314412095524,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.07537783614444091}",20,0,26.013765690548297,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.07516460280028289}",25,0,11.18212179441669,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.07495316889958614}",30,0,6.996313050939689,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.07474350927519359}",25,0,-22.458049234211828,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.07453559924999299}",20,3,24.855682219957647,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.07432941462471664}",20,0,1.2257258080368159,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.07412493166611012}",20,0,8.726140522763817,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
183,False,"{'a': 0.5, 'e': 0.07392212709545729}",20,0,10.972205088155242,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
